Common_Name,Status,Population,Sci_Name,Height,Weight,Length,Habitats,Description,Image_URL,Threats
Green Turtle,Endangered,,Chelonia mydas,,150-400 pounds,31-47 inches,Oceans,"The green turtle is one of the largest sea turtles and the only herbivore among the different species. Green turtles are in fact named for the greenish color of their cartilage and fat, not their shells. In the Eastern Pacific, a group of green turtles that have darker shells are called black turtles by the local community. Green turtles are found mainly in tropical and subtropical waters. Like other sea turtles, they migrate long distances between feeding grounds and the beaches from where they hatched. Classified as endangered, green turtles are threatened by overharvesting of their eggs, hunting of adults, being caught in fishing gear and loss of nesting beach sites.",https://files.worldwildlife.org/wwfcmsprod/images/Green_Turtle_Hero_image_260214.jpg/hero_small/4c6b2u4a4o_Green_Turtle_Hero_image_260214.jpg,
Hawksbill Turtle,Critically Endangered,,Eretmochelys imbricata,,90-150 pounds,30-35 inches,Oceans,"Hawksbills are named for their narrow, pointed beak. They also have a distinctive pattern of overlapping scales on their shells that form a serrated-look on the edges. These colored and patterned shells make them highly-valuable and commonly sold as ""tortoiseshell"" in markets.Hawksbills are found mainly throughout the world's tropical oceans, predominantly in coral reefs. They feed mainly on sponges by using their narrow pointed beaks to extract them from crevices on the reef, but also eat sea anemones and jellyfish. Sea turtles are the living representatives of a group of reptiles that has existed on Earth and travelled our seas for the last 100 million years. They are a fundamental link in marine ecosystems and help maintain the health of coral reefs and sea grass beds.",https://files.worldwildlife.org/wwfcmsprod/images/DO_NOT_USE_Hawksbill_Turtle/hero_small/5a94z3yczo_Medium_WW22305.jpg,"Like other sea turtles, hawksbills are threatened by the loss of nesting and feeding habitats, excessive egg collection, fishery-related mortality, pollution, and coastal development. However, they are most threatened by wildlife trade."
Hector's Dolphin,Endangered,estimated at 7000,Cephalorhynchus hectori,,up to 110 pounds,4 feet,Oceans,"Hector’s dolphins are the smallest and rarest marine dolphins in the world. They have distinct black facial markings, short stocky bodies and a dorsal fin shaped like a Mickey Mouse ear. There is a subspecies of Hector’s dolphin known as Maui’s dolphin that is critically endangered and estimated to have a population of only 55. They are found only in the shallow coastal waters along western shores of New Zealand’s North Island.",https://files.worldwildlife.org/wwfcmsprod/images/Hectors_Dolphin/hero_small/977k5v8nb3_shutterstock_1205907409.jpg,"Living close to shore is a problem for the dolphins. Bycatch—becoming tangled in recreational and commercial gill and trawl nets—is the biggest threat they face.  Gillnets, for example, are made of a fine mesh that dolphins are unable to detect underwater and they accidentally swim into them and become caught. Other threats include being struck by boats, pollution in their habitat, coastal development and seabed mining."
Hippopotamus,Vulnerable,"115,000 to 130,000",Hippopotamus amphibius,,,,,"The hippopotamus, also known as the “river horse,” lives along the rivers and lakes throughout sub-Saharan Africa. Weighing up to 8,000 pounds, the hippo is the heaviest land animal after the elephant. Hippos seek refuge from the heat by living in water during the day, and at night they come ashore to feed on short, soft grasses and fallen fruit. The eyes and ears of a hippopotamus are on top of its head, so it can keep watch for enemies—mainly crocodiles—while lying low in the water. These giants are currently at risk from habitat loss.",https://files.worldwildlife.org/wwfcmsprod/images/Hippos_Hero/hero_small/5pvm5wsdjg_Medium_WW1113453.jpg,
Humphead Wrasse,Endangered,,Cheilinus undulatus,,over 400 pounds,6 feet,Oceans,"The humphead wrasse is an enormous coral reef fish—growing over six feet long—with a prominent bulge on its forehead. Some of them live to be over 30 years old. They roam through coral reefs in search of hard shelled prey such as mollusks, starfish, or crustaceans.WWF urges local governments in the Coral Triangle to stop the trade and consumption of humphead wrasse—one of the most expensive live reef fishes in the world. Live reef fish trade in Southeast Asia continues to be a significant problem that threatens the region’s food security as well as its reefs, as poachers often resort to legal and destructive fishing methods to catch them.",https://files.worldwildlife.org/wwfcmsprod/images/Humphead_Wrasse/hero_small/3sibeliiqy_Medium_WW180520.jpg,The humphead wrasse is highly vulnerable to overfishing because it’s a valued luxury food as a part of the live reef fish trade predominant across Southeast Asia.
Indian Elephant,Endangered,"20,000 – 25,000",Elephas maximus indicus,6-11 feet at the shoulder,5 tons,up to 21 feet,"Subtropical broadleaf forest, tropical broadleaf moist forest, dry forest, grassland","Indian elephants may spend up to 19 hours a day feeding and they can produce about 220 pounds of dung per day while wandering over an area that can cover up to 125 square miles. This helps to disperse germinating seeds. They feed mainly on grasses, but large amounts of tree bark, roots, leaves and small stems are also eaten. Cultivated crops such as bananas, rice and sugarcane are favored foods as well. Since they need to drink at least once a day, these elephants are always close to a source of fresh water.",https://files.worldwildlife.org/wwfcmsprod/images/Indian_elephant_bathing_08.10.2012_Species/hero_small/thcxue91x_HI_47311.jpg,"The quest for land by an increasing human population throughout the Indian elephant’s habitat is leaving little room for them. Illegal encroachment into protected areas and forest clearing for roads or other development are all causing habitat loss and fragmentation. Habitat loss not only leaves elephants without reliable food sources and shelter, it can also cause them to be confined to isolated populations that cannot follow ancient migratory routes or mix with other herds."
Indus River Dolphin,Endangered,"1,816",Platanista minor,,155 - 245 pounds,8.2 ft,,"Indus river dolphins are believed to have originated in the ancient Tethys Sea. When the sea dried up approximately 50 million years ago, the dolphins were forced to adapt to its only remaining habitat—rivers. Today, they can only be found in the lower parts of the Indus River in Pakistan and in River Beas, a tributary of the Indus River in Punjab, India. In Pakistan, their numbers declined dramatically after the construction of an irrigation system, and most dolphins are confined to a 750 mile stretch of the river and divided into isolated populations by six barrages. They have adapted to life in the muddy river and are functionally blind. They rely on echolocation to navigate, communicate and hunt prey including prawns, catfish, and carp.",https://files.worldwildlife.org/wwfcmsprod/images/HERO_Indus_River_Dolphin/hero_small/6qlzt26vcs_114120.jpg,"The main reason for the initial decline of the Indus river dolphin population was the construction of numerous dams and barrages that began in the 1930s. This construction split the population into small groups, degraded their habitat and impeded migration. Now the major threats include accidental capture in fishing nets, plus they are hunted for their meat, oil and for use in traditional medicines."
Irrawaddy Dolphin,Endangered,,Orcaella brevirostris,,198-440 pounds,5.9-9 feet,"Lakes, Rivers, Estuaries, and Coasts","Irrawaddy dolphins are found in coastal areas in South and Southeast Asia, and in three rivers: the Ayeyarwady (Myanmar), the Mahakam (Indonesian Borneo) and the Mekong. The Mekong River Irrawaddy dolphins inhabit a 118-mile stretch of the river between Cambodia and Lao PDR and are scarce—just 92 individuals are estimated to still exist. These dolphins have a bulging forehead, short beak, and 12-19 teeth on each side of both jaws.",https://files.worldwildlife.org/wwfcmsprod/images/Irrawaddy_Dolphin_Mekong_Story_Photo_Gallery/hero_small/1yh1bmlzfk_Mekong_Irrawaddy_Dolphin_breaching__c__WWF_Greater_Mekong.jpg,"Irrawaddy dolphins are primarily threatened by bycatch, the accidental capture of aquatic animals in fishing gear."
Jaguar,Near Threatened,,Panthera onca,,,Up to 6 ft.,"Forests, Grasslands","Jaguars are mighty cats most easily recognized by the bold rosettes generously spotted across their tawny-colored coats. They have thick, stocky legs and short, round ears. The jaguar has the strongest of all the felines. The name “jaguar” originates from the Tupi and Guarani languages of South America from the word yaguareté, or “true, fierce beast and he who kills in one leap.” The majestic jaguar is a symbol of power for many Latin-American cultures, it represents the power of nature and is seen as the protector of the rainforest.Jaguars are the third-largest cat in the world and can weigh over 300 pounds. However, their size varies by region, with jaguars in Central America being smaller than those found in the Amazon and the Pantanal. Jaguars are strictly carnivorous and are considered opportunistic hunters, meaning they will prey on almost any animal that crosses their path. Deer, peccaries, tapirs, iguanas, capybaras, armadillos, and monkeys are among the many kinds of animals that fall prey to jaguars. The powerful bite of jaguars makes them excellent hunters; their teeth possess the strength to pierce through crocodile hides and turtle shells. Once jaguars acquire meat for consumption, they use pointy bumps on their tongues, called papillae, to scrape the meat from its bones.These magnificent cats are distributed from Mexico to Argentina across 18 countries, and Brazil holds around half of the wild jaguars in the world. Their habitats include wet and dry forests, savannahs, and shrublands. Jaguars are strong swimmers and climbers and are dependent on healthy freshwater systems and access to great amounts of territory for survival.",https://files.worldwildlife.org/wwfcmsprod/images/Jaguar_GPN7474/hero_small/63qidi36cn_Responsible_Forestry_8.10.2012_Biodiversiry_Loss_HI_7474.jpg,
Javan Rhino,Critically Endangered,Around 60,Rhinoceros sondaicus,4.6–5.8 feet,"1,984 - 5,071 pounds",10–10.5 feet,Tropical forests,"Javan rhinos are the most threatened of the five rhino species, with only around 60 individuals that live only in Ujung Kulon National Park in Java, Indonesia. Javan rhinos once lived throughout northeast India and Southeast Asia. Vietnam’s last Javan rhino was poached in 2010.This species is a dusky grey color and has a single horn of up to about 10 inches. Its skin has a number of loose folds, giving the appearance of armor plating. The Javan rhino is very similar in appearance to the closely-related greater one-horned rhinoceros, but has a much smaller head and less apparent skin folds.",https://files.worldwildlife.org/wwfcmsprod/images/Javan_Rhino_7_14_2015_HERO/hero_small/mfvrot8yp__H9A0249.jpg,"Javan rhinos are found in only one protected area in the world. The biology of the species is poorly understood, but we are starting to learn more about the species ecology and behavior thanks to very intensive monitoring of the population. They are extremely vulnerable to extinction due to catastrophes, habitat loss, diseases, poaching, and potential inbreeding."
